A	AH
LAYOUT	L EY AW T
LAYOUTS	L EY AW T S
LAYOVER	L EY OW V ER
LAYOVERS	L EY OW V ER Z
LAYPEOPLE	L EY P IY P AH L
LAYPERSON	L EY P ER S IH N
LAYS	L EY Z
LAZIER	L EY Z IY ER
LAZIEST	L EY Z IY AH S T
LAZILY	L AE Z AH L IY
LAZINESS	L EY Z IY N AH S
LAZULI	L AH Z UW L IY
LAZY	L EY Z IY
LB	P AW N D
LBS	P AW N D Z
LEA	L IY
LEACH	L IY CH
LEACHED	L IY CH T
LEACHES	L IY CH IH Z
LEACHING	L IY CH IH NG
LEAD	L EH D
LEADED	L EH D IH D
LEADEN	L EH D AH N
LEADER	L IY D ER
LEADER'S	L IY D ER Z
LEADERLESS	L IY D ER L AH S
LEADERS	L IY D ER Z
LEADERSHIP	L IY D ER SH IH P
LEADERSHIP'S	L IY D ER SH IH P S
LEADERSHIPS	L IY D ER SH IH P S
LEADING	L IY D IH NG
LEADS	L IY D Z
LEAF	L IY F
LEAFED	L IY F T
LEAFHOPPER	L IY F HH AA P ER
LEAFING	L IY F IH NG
LEAFLESS	L IY F L AH S
LEAFLET	L IY F L AH T
LEAFLETS	L IY F L AH T S
LEAFS	L IY F S
LEAFY	L IY F IY
LEAGUE	L IY G
LEAGUE'S	L IY G Z
LEAGUER	L IY G ER
LEAGUERS	L IY G ER Z
LEAGUES	L IY G Z
LEAK	L IY K
LEAKAGE	L IY K AH JH
LEAKED	L IY K T
LEAKER	L IY K ER
LEAKING	L IY K IH NG
LEAKS	L IY K S
LEAKY	L IY K IY
LEAN	L IY N
LEANED	L IY N D
LEANER	L IY N ER
LEANEST	L IY N AH S T
LEANING	L IY N IH NG
LEANINGS	L IY N IH NG Z
LEANS	L IY N Z
LEAP	L IY P
LEAPED	L EH P T
LEAPFROG	L IY P F R AO G
LEAPFROGGED	L IY P F R AO G D
LEAPFROGGING	L IY P F R AO G IH NG
LEAPING	L IY P IH NG
LEAPS	L IY P S
LEARN	L ER N
LEARNED	L ER N D
LEARNER	L ER N ER
LEARNERS	L ER N ER Z
LEARNING	L ER N IH NG
LEARNS	L ER N Z
LEAS	L IY Z
LEASE	L IY S
LEASE'S	L IY S IH Z
LEASEBACK	L IY S B AE K
LEASEBACKS	L IY S B AE K S
LEASED	L IY S T
LEASEHOLD	L IY S HH OW L D
LEASER	L IY S ER
LEASES	L IY S IH Z
LEASH	L IY SH
LEASHED	L IY SH T
LEASHES	L IY SH IH Z
LEASING	L IY S IH NG
LEASING'S	L IY S IH NG Z
LEAST	L IY S T
LEATHER	L EH DH ER
LEATHERS	L EH DH ER Z
LEATHERY	L EH DH ER IY
LEAVE	L IY V
LEAVEN	L EH V AH N
LEAVENED	L EH V AH N D
LEAVENING	L EH V AH N IH NG
LEAVENS	L EH V AH N Z
LEAVER	L IY V ER
LEAVER'S	L IY V ER Z
LEAVES	L IY V Z
LEAVING	L IY V IH NG
LEAVINGS	L IY V IH NG Z
LECHER	L EH CH ER
LECHEROUS	L EH CH ER AH S
LECITHIN	L EH S AH TH AH N
LECTERN	L EH K T ER N
LECTURE	L EH K CH ER
LECTURED	L EH K CH ER D
LECTURER	L EH K CH ER ER
LECTURERS	L EH K CH ER ER Z
LECTURES	L EH K CH ER Z
LECTURING	L EH K CH ER IH NG
LED	L EH D
LEDGE	L EH JH
LEDGER	L EH JH ER
LEDGERS	L EH JH ER Z
LEDGES	L EH JH IH Z
LEE	L IY
LEE'S	L IY Z
LEECH	L IY CH
LEECHES	L IY CH IH Z
LEEK	L IY K
LEEKS	L IY K S
LEERY	L IH R IY
LEES	L IY Z
LEEWARD	L IY W ER D
LEEWAY	L IY W EY
LEFT	L EH F T
LEFT-BRACE	L EH F T B R EY S
LEFT-WINGER	L EH F T W IH NG ER
LEFT-WINGERS	L EH F T W IH NG ER Z
LEFTIES	L EH F T IY Z
LEFTISM	L EH F T IH Z AH M
LEFTIST	L EH F T IH S T
LEFTISTS	L EH F T IH S T S
LEFTOVER	L EH F T OW V ER
LEFTOVERS	L EH F T OW V ER Z
LEFTWARD	L EH F T W ER D
LEFTY	L EH F T IY
LEG	L EH G
LEG'S	L EH G Z
LEGACIES	L EH G AH S IY Z
LEGACY	L EH G AH S IY
LEGAL	L IY G AH L
LEGALESE	L EH G AH L IY S
LEGALISM	L IY G AH L IH Z AH M
LEGALISTIC	L EH G AH L IH S T IH K
LEGALITIES	L IY G AE L IH T IY Z
LEGALITY	L IY G AE L AH T IY
LEGALIZATION	L IY G AH L AH Z EY SH AH N
LEGALIZE	L IY G AH L AY Z
LEGALIZED	L IY G AH L AY Z D
LEGALIZING	L IY G AH L AY Z IH NG
LEGALLY	L IY G AH L IY
LEGALS	L IY G AH L Z
LEGATE	L EH G AH T
LEGATES	L EH G AH T S
LEGATO	L AH G AA T OW
LEGEND	L EH JH AH N D
LEGENDARY	L EH JH AH N D EH R IY
LEGENDS	L EH JH AH N D Z
LEGERDEMAIN	L EH JH ER D AH M EY N
LEGGED	L EH G AH D
LEGGING	L EH G IH NG
LEGGINGS	L EH G IH NG Z
LEGGY	L EH G IY
LEGHORN	L EH G HH AO R N
LEGHORNS	L EH G HH AO R N Z
LEGIBILITY	L EH JH AH B IH L AH T IY
LEGIBLE	L EH JH AH B AH L
LEGION	L IY JH AH N
LEGIONARIES	L IY JH AH N EH R IY Z
LEGIONNAIRE	L IY JH AH N EH R
LEGIONNAIRE'S	L IY JH AH N EH R Z
LEGIONNAIRES	L IY JH AH N EH R Z
LEGIONS	L IY JH AH N Z
LEGISLATE	L EH JH IH S L EY T
LEGISLATED	L EH JH AH S L EY T AH D
LEGISLATES	L EH JH IH S L EY T S
LEGISLATING	L EH JH IH S L EY T IH NG
LEGISLATION	L EH JH AH S L EY SH AH N
LEGISLATION'S	L EH JH AH S L EY SH AH N Z
LEGISLATIVE	L EH JH AH S L EY T IH V
LEGISLATIVELY	L EH JH IH S L EY T IH V L IY
LEGISLATOR	L EH JH AH S L EY T ER
LEGISLATORS	L EH JH AH S L EY T ER Z
LEGISLATURE	L EH JH AH S L EY CH ER
LEGISLATURE'S	L EH JH AH S L EY CH ER Z
LEGISLATURES	L EH JH IH S L EY CH ER Z
LEGIT	L EH JH IH T
LEGITIMACY	L AH JH IH T AH M AH S IY
LEGITIMATE	L AH JH IH T AH M AH T
LEGITIMATELY	L AH JH IH T AH M AH T L IY
LEGITIMIZE	L AH JH IH T AH M AY Z
LEGITIMIZED	L IH JH IH T AH M AY Z D
LEGITIMIZES	L IH JH IH T AH M AY Z IH Z
LEGITIMIZING	L IH JH IH T AH M AY Z IH NG
LEGLESS	L EH G L AH S
LEGROOM	L AH G R UW M
LEGS	L EH G Z
LEGUME	L EH G Y UW M
LEGUMES	L EH G Y UW M Z
LEGWORK	L EH G W ER K
LEI	L EY
LEIS	L EY Z
LEISURE	L EH ZH ER
LEISURELY	L IY Z ER L IY
LEITMOTIF	L AY T M OW T IY F
LEMMA	L EH M AH
LEMME	L EH M AH
LEMMING	L EH M IH NG
LEMMINGS	L EH M IH NG Z
LEMON	L EH M AH N
LEMONADE	L EH M AH N EY D
LEMONS	L EH M AH N Z
LEMUR	L IY M ER
LEMURS	L IY M ER Z
LEND	L EH N D
LENDER	L EH N D ER
LENDER'S	L EH N D ER Z
LENDERS	L EH N D ER Z
LENDING	L EH N D IH NG
LENDS	L EH N D Z
LENGTH	L EH NG K TH
LENGTHEN	L EH NG TH AH N
LENGTHENED	L EH NG TH AH N D
LENGTHENING	L EH NG TH AH N IH NG
LENGTHENS	L EH NG TH AH N Z
LENGTHS	L EH NG K TH S
LENGTHWISE	L EH NG TH W AY Z
LENGTHY	L EH NG TH IY
LENIENCY	L IY N Y AH N S IY
LENIENT	L IY N IY AH N T
LENIENTLY	L IY N Y AH N T L IY
LENS	L EH N Z
LENSES	L EH N Z AH Z
LENSING	L EH N S IH NG
LENT	L EH N T
LENTIL	L EH N T AH L
LENTILS	L EH N T AH L Z
LENTO	L EH N T OW
LEOPARD	L EH P ER D
LEOPARDS	L EH P ER D Z
LEOTARD	L IY AH T AA R D
LEPER	L EH P ER
LEPERS	L EH P ER Z
LEPROSY	L EH P R AH S IY
LESBIAN	L EH Z B IY AH N
LESBIANISM	L EH Z B IY AH N IH Z M
LESBIANS	L EH Z B IY AH N Z
LESION	L IY ZH AH N
LESIONS	L IY ZH AH N Z
LESS	L EH S
LESSEE	L EH S IY
LESSEES	L EH S IY Z
LESSEN	L EH S AH N
LESSENED	L EH S AH N D
LESSENING	L EH S AH N IH NG
LESSENS	L EH S AH N Z
LESSER	L EH S ER
LESSING	L EH S IH NG
LESSON	L EH S AH N
LESSONS	L EH S AH N Z
LESSOR	L EH S ER
LESSORS	L EH S ER Z
LEST	L EH S T
LESTER	L EH S T ER
LET	L EH T
LET'S	L EH T S
LETDOWN	L EH T D AW N
LETHAL	L IY TH AH L
LETHALITY	L IY TH AE L AH T IY
LETHARGIC	L AH TH AA R JH IH K
LETHARGY	L EH TH ER JH IY
LETS	L EH T S
LETTER	L EH T ER
LETTERED	L EH T ER D
LETTERHEAD	L EH T ER HH EH D
LETTERING	L EH T ER IH NG
LETTERMAN	L EH T ER M AH N
LETTERMAN'S	L EH T ER M AH N Z
LETTERPRESS	L EH T ER P R EH S
LETTERS	L EH T ER Z
LETTING	L EH T IH NG
LETTUCE	L EH T AH S
LETUP	L EH T AH P
LEUKEMIA	L UW K IY M IY AH
LEUKOCYTE	L UW K AH S AY T
LEVEE	L EH V IY
LEVEES	L EH V IY Z
LEVEL	L EH V AH L
LEVELED	L EH V AH L D
LEVELER'S	L EH V AH L ER Z
LEVELERS	L EH V AH L ER Z
LEVELING	L EH V AH L IH NG
LEVELS	L EH V AH L Z
LEVER	L EH V ER
LEVERAGE	L EH V ER IH JH
LEVERAGED	L IY V ER IH JH D
LEVERAGING	L EH V R IH JH IH NG
LEVERING	L EH V ER IH NG
LEVERS	L EH V ER Z
LEVIATHAN	L AH V AY AH TH AH N
LEVIED	L EH V IY D
LEVIES	L EH V IY Z
LEVITATE	L EH V IH T EY T
LEVITATED	L EH V IH T EY T IH D
LEVITATING	L EH V AH T EY T IH NG
LEVITATION	L EH V IH T EY SH AH N
LEVITY	L EH V IH T IY
LEVY	L EH V IY
LEVYING	L EH V IY IH NG
LEWD	L UW D
LEWIS	L UW IH S
LEWIS'S	L UW IH S IH Z
LEX	L EH K S
LEXICAL	L EH K S IH K AH L
LEXICOGRAPHER	L EH K S IH K AA G R AH F ER
LEXICOGRAPHERS	L EH K S IH K AA G R AH F ER Z
LEXICON	L EH K S IH K AA N
LEXICONS	L EH K S IH K AA N Z
LIABILITIES	L AY AH B IH L AH T IY Z
LIABILITY	L AY AH B IH L IH T IY
LIABLE	L AY AH B AH L
LIAISON	L IY EY Z AA N
LIAISONS	L IY EY S AA N Z
LIAR	L AY ER
LIARS	L AY ER Z
LIB	L IH B
LIBBED	L IH B D
LIBBING	L IH B IH NG
LIBEL	L AY B AH L
LIBELED	L AY B AH L D
LIBELOUS	L AY B AH L AH S
LIBERAL	L IH B ER AH L
LIBERALISM	L IH B ER AH L IH Z AH M
LIBERALISM'S	L IH B ER R AH L IH Z AH M Z
LIBERALITY	L IH B ER AE L AH T IY
LIBERALIZATION	L IH B AH R AH L IH Z EY SH AH N
LIBERALIZATIONS	L IH B ER AH L IH Z EY SH AH N Z
LIBERALIZE	L IH B ER AH L AY Z
LIBERALIZED	L IH B ER AH L AY Z D
LIBERALIZES	L IH B ER AH L AY Z IH Z
LIBERALIZING	L IH B ER AH L AY Z IH NG
LIBERALLY	L IH B ER AH L IY
LIBERALS	L IH B ER AH L Z
LIBERATE	L IH B ER EY T
LIBERATED	L IH B ER EY T IH D
LIBERATING	L IH B ER EY T IH NG
LIBERATION	L IH B ER EY SH AH N
LIBERATOR	L IH B ER EY T AH R
LIBERATORS	L IH B ER EY T AH R Z
LIBERTARIAN	L IH B ER T EH R IY AH N
LIBERTARIANS	L IH B ER T EH R IY AH N Z
LIBERTIES	L IH B ER T IY Z
LIBERTINE	L IH B ER T IY N
LIBERTINES	L IH B ER T IY N Z
LIBERTY	L IH B ER T IY
LIBERTY'S	L IH B ER T IY Z
LIBIDO	L AH B IY D OW
LIBRARIAN	L AY B R EH R IY AH N
LIBRARIANS	L AY B R EH R IY AH N Z
LIBRARIES	L AY B R EH R IY Z
LIBRARY	L AY B R EH R IY
LIBRARY'S	L AY B R EH R IY Z
LIBRETTIST	L AH B R EH T AH S T
LIBRETTO	L AH B R EH T OW
LICE	L AY S
LICENSE	L AY S AH N S
LICENSED	L AY S AH N S T
LICENSEE	L AY S AH N S IY
LICENSEES	L AY S AH N S IY Z
LICENSER	L AY S AH N S ER
LICENSES	L AY S AH N S IH Z
LICENSING	L AY S AH N S IH NG
LICENSOR	L AY S AH N S ER
LICENTIOUS	L AY S EH N CH AH S
LICHEN	L AY K AH N
LICHENS	L AY K AH N Z
LICK	L IH K
LICKED	L IH K T
LICKER	L IH K ER
LICKING	L IH K IH NG
LICKS	L IH K S
LICORICE	L IH K ER IH SH
LID	L IH D
LIDO	L IY D OW
LIDS	L IH D Z
LIE	L AY
LIED	L AY D
LIEDER	L IY D ER
LIEF	L IY F
LIEFER	L IY F ER
LIEGE	L IY JH
LIEN	L IY N
LIENS	L IY N Z
LIES	L AY Z
LIEU	L UW
LIEUTENANT	L UW T EH N AH N T
LIEUTENANTS	L UW T EH N AH N T S
LIFE	L AY F
LIFE'S	L AY F S
LIFEBLOOD	L AY F B L AH D
LIFEBOAT	L AY F B OW T
LIFEBOATS	L AY F B OW T S
LIFEGUARD	L AY F G AA R D
LIFEGUARDS	L AY F G AA R D Z
LIFELESS	L AY F L AH S
LIFELIKE	L AY F L AY K
LIFELINE	L AY F L AY N
LIFELINES	L AY F L AY N Z
LIFELONG	L AY F L AO NG
LIFER	L AY F ER
LIFERS	L AY F ER Z
LIFESAVER	L AY F S EY V ER
LIFESAVERS	L AY F S EY V ER Z
LIFESAVING	L AY F S EY V IH NG
LIFESPAN	L AY F S P AE N
LIFESPANS	L AY F S P AE N Z
LIFESTYLE	L AY F S T AY L
LIFESTYLES	L AY F S T AY L Z
LIFETIME	L AY F T AY M
LIFETIME'S	L AY F T AY M Z
LIFETIMES	L AY F T AY M Z
LIFT	L IH F T
LIFTED	L IH F T AH D
LIFTER	L IH F T ER
LIFTERS	L IH F T ER Z
LIFTING	L IH F T IH NG
LIFTOFF	L IH F T AO F
LIFTS	L IH F T S
LIGAMENT	L IH G AH M AH N T
LIGAMENTS	L IH G AH M AH N T S
LIGAND	L IH G AH N D
LIGANDS	L IH G AH N D Z
LIGATION	L AY G EY SH AH N
LIGHT	L AY T
LIGHT'S	L AY T S
LIGHTED	L AY T AH D
LIGHTEN	L AY T AH N
LIGHTENED	L AY T AH N D
LIGHTENING	L AY T AH N IH NG
LIGHTENS	L AY T AH N Z
LIGHTER	L AY T ER
LIGHTERS	L AY T ER Z
LIGHTEST	L AY T AH S T
LIGHTHEADED	L AY T HH EH D AH D
LIGHTHEARTED	L AY T HH AA R T IH D
LIGHTHOUSE	L AY T HH AW S
LIGHTHOUSES	L AY T HH AW S IH Z
LIGHTING	L AY T IH NG
LIGHTING'S	L AY T IH NG Z
LIGHTLY	L AY T L IY
LIGHTNESS	L AY T N AH S
LIGHTNING	L AY T N IH NG
LIGHTNINGS	L AY T N IH NG Z
LIGHTS	L AY T S
LIGHTSHIP	L AY T SH IH P
LIGHTSHIPS	L AY T SH IH P S
LIGHTWEIGHT	L AY T W EY T
LIGNITE	L IH G N AY T
LIKABLE	L AY K AH B AH L
LIKE	L AY K
LIKED	L AY K T
LIKELIER	L AY K L IY ER
LIKELIEST	L AY K L IY AH S T
LIKELIHOOD	L AY K L IY HH UH D
LIKELY	L AY K L IY
LIKEN	L AY K AH N
LIKENED	L AY K AH N D
LIKENESS	L AY K N AH S
LIKENESSES	L AY K N AH S IH Z
LIKENING	L AY K AH N IH NG
LIKENS	L AY K AH N Z
LIKES	L AY K S
LIKEWISE	L AY K W AY Z
LIKING	L AY K IH NG
LILAC	L AY L AE K
LILACS	L AY L AE K S
LILIES	L IH L IY Z
LILLIPUTIAN	L IH L AH P Y UW SH AH N
LILT	L IH L T
LILY	L IH L IY
LILY'S	L IH L IY Z
LIMB	L IH M
LIMBED	L IH M D
LIMBER	L IH M B ER
LIMBERS	L IH M B ER Z
LIMBLESS	L IH M L AH S
LIMBO	L IH M B OW
LIMBS	L IH M Z
LIME	L AY M
LIMELIGHT	L AY M L AY T
LIMERICK	L IH M ER IH K
LIMERICK'S	L IH M ER IH K S
LIMERICKS	L IH M ER IH K S
LIMES	L AY M Z
LIMESTONE	L AY M S T OW N
LIMESTONES	L AY M S T OW N Z
LIMING	L AY M IH NG
LIMIT	L IH M AH T
LIMITATION	L IH M IH T EY SH AH N
LIMITATIONS	L IH M IH T EY SH AH N Z
LIMITED	L IH M AH T AH D
LIMITING	L IH M AH T IH NG
LIMITLESS	L IH M AH T L AH S
LIMITS	L IH M AH T S
LIMO	L IH M OW
LIMOS	L IH M OW Z
LIMOUSINE	L IH M AH Z IY N
LIMOUSINES	L IH M AH Z IY N Z
LIMP	L IH M P
LIMPED	L IH M P T
LIMPETS	L IH M P AH T S
LIMPING	L IH M P IH NG
LIMPS	L IH M P S
LINAGE	L AY N IH JH
LINCHPIN	L IH N CH P IH N
LINDEN	L IH N D AH N
LINDEN'S	L IH N D AH N Z
LINE	L AY N
LINE'S	L AY N Z
LINEAGE	L IH N IY AH JH
LINEAGES	L IH N IY IH JH IH Z
LINEAL	L IH N IY AH L
LINEAR	L IH N IY ER
LINEARLY	L IH N IY ER L IY
LINEBACKER	L AY N B AE K ER
LINEBACKERS	L AY N B AE K ER Z
LINED	L AY N D
LINEMAN	L AY N M AH N
LINEMEN	L AY N M AH N
LINEN	L IH N AH N
LINENS	L IH N AH N Z
LINER	L AY N ER
LINER'S	L AY N ER Z
LINERS	L AY N ER Z
LINES	L AY N Z
LINEUP	L AY N AH P
LINEUPS	L AY N AH P S
LING	L IH NG
LINGER	L IH NG G ER
LINGERED	L IH NG G ER D
LINGERIE	L AA N ZH ER EY
LINGERING	L IH NG G ER IH NG
LINGERS	L IH NG G ER Z
LINGO	L IH NG G OW
LINGS	L IH NG Z
LINGUA	L IH NG G W AH
LINGUINE	L IH NG G W IY N IY
LINGUIST	L IH NG G W IH S T
LINGUISTIC	L IH NG G W IH S T IH K
LINGUISTICALLY	L IH NG G W IH S T IH K L IY
LINGUISTICS	L IH NG G W IH S T IH K S
LINGUISTS	L IH NG G W IH S T S
LINING	L AY N IH NG
LININGS	L AY N IH NG Z
LINK	L IH NG K
LINK'S	L IH NG K S
LINKAGE	L IH NG K AH JH
LINKAGES	L IH NG K IH JH IH Z
LINKED	L IH NG K T
LINKER	L IH NG K ER
LINKING	L IH NG K IH NG
LINKS	L IH NG K S
LINKUP	L IH NG K AH P
LINKUPS	L IH NG K AH P S
LINNET	L IH N IH T
LINO	L IY N OW
LINOLEUM	L AH N OW L IY AH M
LINSEED	L IH N S IY D
LINT	L IH N T
LINTEL	L IH N T AH L
LION	L AY AH N
LION'S	L AY AH N Z
LIONIZE	L AY AH N AY Z
LIONIZED	L AY AH N AY Z D
LIONS	L AY AH N Z
LIP	L IH P
LIPID	L AY P AH D
LIPOSUCTION	L IH P OW S AH K SH AH N
LIPPED	L IH P T
LIPPER	L IH P ER
LIPPY	L IH P IY
LIPS	L IH P S
LIPSTICK	L IH P S T IH K
LIPSTICKS	L IH P S T IH K S
LIQUEFACTION	L IH K W AH F AE K SH AH N
LIQUEFIED	L IH K W AH F AY D
LIQUEFY	L IH K W AH F AY
LIQUEUR	L IH K ER
LIQUEURS	L IH K ER Z
LIQUID	L IH K W AH D
LIQUIDATE	L IH K W IH D EY T
LIQUIDATED	L IH K W IH D EY T IH D
LIQUIDATES	L IH K W IH D EY T S
LIQUIDATING	L IH K W IH D EY T IH NG
LIQUIDATION	L IH K W IH D EY SH AH N
LIQUIDATIONS	L IH K W IH D EY SH AH N Z
LIQUIDATOR	L IH K W IH D EY T ER
LIQUIDATORS	L IH K W IH D EY T ER Z
LIQUIDITIES	L IH K W IH D AH T IY Z
LIQUIDITY	L IH K W IH D AH T IY
LIQUIDS	L IH K W AH D Z
LIQUOR	L IH K ER
LIQUORS	L IH K ER Z
LIRA	L IH R AH
LIRA'S	L IH R AH Z
LIRE	L IH R AH
LISLE	L AY AH L
LISP	L IH S P
LIST	L IH S T
LIST'S	L IH S T S
LISTED	L IH S T AH D
LISTEN	L IH S AH N
LISTENED	L IH S AH N D
LISTENER	L IH S AH N ER
LISTENERS	L IH S AH N ER Z
LISTENING	L IH S AH N IH NG
LISTENS	L IH S AH N Z
LISTER	L IH S T ER
LISTING	L IH S T IH NG
LISTINGS	L IH S T IH NG Z
LISTLESS	L IH S T L AH S
LISTLESSLY	L IH S T L AH S L IY
LISTS	L IH S T S
LIT	L IH T
LITANIES	L IH T AH N IY Z
LITANY	L IH T AH N IY
LITE	L AY T
LITER	L IY T ER
LITERACY	L IH T ER AH S IY
LITERAL	L IH T ER AH L
LITERALLY	L IH T ER AH L IY
LITERARY	L IH T ER EH R IY
LITERATE	L IH T ER AH T
LITERATI	L IH T ER AA T IY
LITERATURE	L IH T ER AH CH ER
LITERS	L IY T ER Z
LITES	L AY T S
LITHE	L AY DH
LITHIUM	L IH TH IY AH M
LITHOGRAPH	L IH TH AH G R AE F
LITHOGRAPHIC	L IH TH AH G R AE F IH K
LITHOGRAPHS	L IH TH AH G R AE F S
LITHOGRAPHY	L AH TH AA G R AH F IY
LITIGANT	L IH T IH G AH N T
LITIGANTS	L IH T IH G AH N T S
LITIGATE	L IH T IH G EY T
LITIGATED	L IH T IH G EY T IH D
LITIGATES	L IH T IH G EY T S
LITIGATING	L IH T IH G EY T IH NG
LITIGATION	L IH T AH G EY SH AH N
LITIGATIONS	L IH T AH G EY SH AH N Z
LITIGATOR	L IH T AH G EY T ER
LITIGATORS	L IH T AH G EY T ER Z
LITIGIOUS	L IH T IH JH AH S
LITMUS	L IH T M AH S
LITS	L IH T S
LITTER	L IH T ER
LITTERED	L IH T ER D
LITTERING	L IH T ER IH NG
LITTERS	L IH T ER Z
LITTLE	L IH T AH L
LITTLE-ROCK	L IH T AH L R AO K
LITTLER	L IH T AH L ER
LITTLES	L IH T AH L Z
LITTLEST	L IH T AH L AH S T
LITTORAL	L IH T ER AH L
LITURGICAL	L AH T ER JH IH K AH L
LITURGY	L IH T ER JH IY
LIVABLE	L IH V AH B AH L
LIVE	L AY V
LIVED	L AY V D
LIVELIER	L AY V L IY ER
LIVELIEST	L AY V L IY AH S T
LIVELIHOOD	L AY V L IY HH UH D
LIVELIHOODS	L AY V L IY HH UH D Z
LIVELINESS	L AY V L IY N AH S
LIVELY	L AY V L IY
LIVEN	L AY V AH N
LIVENED	L AY V AH N D
LIVER	L IH V ER
LIVERIED	L IH V R IY D
LIVERS	L IH V ER Z
LIVERWORT	L IH V ER W ER T
LIVERWORTS	L IH V ER W ER T S
LIVERY	L IH V ER IY
LIVES	L IH V Z
LIVESTOCK	L AY V S T AA K
LIVID	L IH V IH D
LIVING	L IH V IH NG
LIVINGS	L IH V IH NG Z
LIZARD	L IH Z ER D
LIZARD'S	L IH Z ER D Z
LIZARDS	L IH Z ER D Z
LLAMA	L AA M AH
LLAMAS	L AA M AH Z
LLANO	L AA N OW
LLANOS	L AA N OW Z
LO	L OW
LOAD	L OW D
LOADED	L OW D AH D
LOADER	L OW D ER
LOADERS	L OW D ER Z
LOADING	L OW D IH NG
LOADINGS	L OW D IH NG Z
LOADS	L OW D Z
LOAF	L OW F
LOAFER	L OW F ER
LOAFERS	L OW F ER Z
LOAFS	L OW F S
LOAM	L OW M
LOAMY	L OW M IY
LOAN	L OW N
LOAN'S	L OW N Z
LOANED	L OW N D
LOANING	L OW N IH NG
LOANS	L OW N Z
LOATH	L OW TH
LOATHE	L OW DH
LOATHED	L OW DH D
LOATHING	L OW TH IH NG
LOATHSOME	L OW DH S AH M
LOAVES	L OW V Z
LOB	L AA B
LOBBED	L AA B D
LOBBIED	L AA B IY D
LOBBIES	L AA B IY Z
LOBBING	L AA B IH NG
LOBBY	L AA B IY
LOBBY'S	L AA B IY Z
LOBBYING	L AA B IY IH NG
LOBBYIST	L AA B IY AH S T
LOBBYISTS	L AA B IY IH S T S
LOBE	L OW B
LOBED	L OW B D
LOBES	L OW B Z
LOBOTOMY	L OW B OW T OW M IY
LOBS	L AA B Z
LOBSTER	L AA B S T ER
LOBSTER'S	L AA B S T ER Z
LOBSTERS	L AA B S T ER Z
LOBULES	L AA B Y UW L Z
LOCAL	L OW K AH L
LOCALE	L OW K AE L
LOCALES	L OW K AE L Z
LOCALITIES	L OW K AE L IH T IY Z
LOCALITY	L OW K AE L AH T IY
LOCALIZATION	L OW K AH L AH Z EY SH AH N
LOCALIZE	L OW K AH L AY Z
LOCALIZED	L OW K AH L AY Z D
LOCALLY	L OW K AH L IY
LOCALS	L OW K AH L Z
LOCATE	L OW K EY T
LOCATED	L OW K EY T AH D
LOCATES	L OW K EY T S
LOCATING	L OW K EY T IH NG
LOCATION	L OW K EY SH AH N
LOCATIONS	L OW K EY SH AH N Z
LOCH	L AA K
LOCI	L OW K IY
LOCK	L AA K
LOCKED	L AA K T
LOCKER	L AA K ER
LOCKERS	L AA K ER Z
LOCKET	L AA K IH T
LOCKETS	L AA K IH T S
LOCKING	L AA K IH NG
LOCKOUT	L AA K AW T
LOCKOUTS	L AA K AW T S
LOCKS	L AA K S
LOCKSMITH	L AA K S M IH TH
LOCKSTEP	L AA K S T EH P
LOCKUP	L AA K AH P
LOCO	L OW K OW
LOCOMOTION	L OW K AH M OW SH AH N
LOCOMOTIVE	L OW K AH M OW T IH V
LOCOMOTIVES	L OW K AH M OW T IH V Z
LOCOMOTOR	L OW K AH M OW T ER
LOCUS	L OW K AH S
LOCUST	L OW K AH S T
LOCUSTS	L OW K AH S T S
LODE	L OW D
LODES	L OW D Z
LODESTAR	L OW D S T AA R
LODESTONE	L OW D S T OW N
LODGE	L AA JH
LODGE'S	L AA JH IH Z
LODGED	L AA JH D
LODGEPOLE	L AA JH P OW L
LODGES	L AA JH AH Z
LODGING	L AA JH IH NG
LODGINGS	L AA JH IH NG Z
LOFT	L AO F T
LOFT'S	L AO F T S
LOFTIER	L AO F T IY ER
LOFTS	L AO F T S
LOFTY	L AO F T IY
LOG	L AO G
LOGARITHM	L AA G ER IH DH AH M
LOGARITHMIC	L AA G ER IH DH M IH K
LOGARITHMS	L AA G ER IH DH AH M Z
LOGBOOK	L AO G B UH K
LOGE	L OW JH
LOGES	L OW JH IH Z
LOGGED	L AO G D
LOGGER	L AA G ER
LOGGERHEAD	L AA G ER HH EH D
LOGGERHEADS	L AA G ER HH EH D Z
LOGGERS	L AA G ER Z
LOGGIA	L AA G IY AH
LOGGING	L AO G IH NG
LOGIC	L AA JH IH K
LOGICAL	L AA JH IH K AH L
LOGICALLY	L AA JH IH K L IY
LOGICIAN	L OW JH IH SH AH N
LOGISTIC	L AH JH IH S T IH K
LOGISTICAL	L AH JH IH S T IH K AH L
LOGISTICALLY	L AH JH IH S T IH K L IY
LOGISTICS	L AH JH IH S T IH K S
LOGJAM	L AA G JH AE M
LOGJAMS	L AA G JH AE M Z
LOGO	L OW G OW
LOGOS	L OW G OW Z
LOGS	L AO G Z
LOIN	L OY N
LOINCLOTH	L OY N K L AO TH
LOITER	L OY T ER
LOITERING	L OY T ER IH NG
LOLL	L AA L
LOLLING	L AA L IH NG
LOLLIPOP	L AA L IY P AA P
LOLLIPOPS	L AA L IY P AA P S
LOLLY	L AA L IY
LONE	L OW N
LONELINESS	L OW N L IY N AH S
